grep,app-util/grep,2.20,2cbea44a4f1548aee20b9ff2d3076908,http://ftp.gnu.org/gnu/grep/grep-VVV.tar.xz,http://www.gnu.org/software/grep/,Grep searches one or more input files for lines containing a match to a specified pattern
groff,app-util/groff,1.22.2,9f4cd592a5efc7e36481d8d8d8af6d16,http://ftp.gnu.org/gnu/groff/groff-VVV.tar.gz,http://www.gnu.org/software/groff/,GNU troff is a typesetting system that reads plain text and produces formatted output
grub,app-sys/grub,2.00,a1043102fbc7bcedbf53e7ee3d17ab91,http://ftp.gnu.org/gnu/grub/grub-VVV.tar.xz,http://www.gnu.org/software/grub/, The GNU bootloader
gzip,app-arch/gzip,1.6,da981f86677d58a106496e68de6f8995,http://ftp.gnu.org/gnu/gzip/gzip-VVV.tar.xz,http://www.gnu.org/software/gzip/,Standard GNU compressor
iana-etc,net-admin/iana-etc,2.30,3ba3afb1d1b261383d247f46cb135ee8,http://anduin.linuxfromscratch.org/sources/LFS/lfs-packages/conglomeration/iana-etc/iana-etc-VVV.tar.bz2,http://freecode.com/projects/iana-etc,iana-etc installs /etc/services and /etc/protocols using data from the Internet Assigned Numbers Authority
inetutils,net-admin/inetutils,1.9.2,aa1a9a132259db83e66c1f3265065ba2,http://ftp.gnu.org/gnu/inetutils/inetutils-VVV.tar.gz,http://www.gnu.org/software/inetutils/,Inetutils is a collection of common network programs
intltool,app-i18n/intltool,0.50.2,23fbd879118253cb99aeac067da5f591,http://launchpad.net/intltool/trunk/VVV/+download/intltool-VVV.tar.gz,http://freedesktop.org/wiki/Software/intltool,intltool is a set of tools to centralize translation of many different file formats using GNU gettext-compatible PO files
iproute2,net-admin/iproute2,3.16.0,6c823b40fdcfa7b8120743349a52ac18,https://www.kernel.org/pub/linux/utils/net/iproute2/iproute2-VVV.tar.xz,https://www.kernel.org/pub/linux/utils/net/iproute2/,Iproute2 is a collection of utilities for controlling TCP/IP networking and traffic control in Linux
kbd,app-util/kbd,2.0.2,ba56fb5bfd44acea83fc5dac4a9b7f15,https://www.kernel.org/pub/linux/utils/kbd/kbd-VVV.tar.gz,http://ftp.altlinux.org/pub/people/legion/kbd,kbd contains tools for managing the Linux console
kmod,app-util/kmod,18,82835c7f01983634e06ca72b4ee30cc6,https://www.kernel.org/pub/linux/utils/kernel/kmod/kmod-VVV.tar.xz,n/a,Tools for managing kernel modules
less,app-util/less,458,935b38aa2e73c888c210dedf8fd94f49,http://www.greenwoodsoftware.com/less/less-VVV.tar.gz,http://www.greenwoodsoftware.com/less/,Less is a free; open-source file pager
libcap,dev-lib/libcap,2.24,d43ab9f680435a7fff35b4ace8d45b80,https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-VVV.tar.xz,https://sites.google.com/site/fullycapable/,Linux Capabilities - an alternative to the superuser model of privilege under Linux
libpipeline,dev-lib/libpipeline,1.3.0,242428c01dca255cdcb2195073a9c6ed,http://download.savannah.gnu.org/releases/libpipeline/libpipeline-VVV.tar.gz,http://libpipeline.nongnu.org/,libpipeline is a C library for manipulating pipelines of subprocesses
libtool,dev-tool/libtool,2.4.2,d2f3b7d4627e69e13514a40e72a24d50,http://ftp.gnu.org/gnu/libtool/libtool-VVV.tar.gz,http://www.gnu.org/software/libtool/,GNU libtool is a generic library support script
m4,dev-tool/m4,1.4.17,12a3c829301a4fd6586a57d3fcf196dc,http://ftp.gnu.org/gnu/m4/m4-VVV.tar.xz,http://www.gnu.org/software/m4/,GNU M4 is an implementation of the traditional Unix macro processor
make,dev-tool/make,4.0,571d470a7647b455e3af3f92d79f1c18,http://ftp.gnu.org/gnu/make/make-VVV.tar.bz2,http://www.gnu.org/software/make/,GNU Make is a tool which controls the generation of executables and other non-source files
